Title;Issn;SJR Best Quartile;Categories
World Journal of Men's Health;22874690, 22874208;Q1;"Health Policy (Q1); Pharmacology (medical) (Q1); Public Health, Environmental and Occupational Health (Q1); Reproductive Medicine (Q1); Urology (Q1); Aging (Q2); Psychiatry and Mental Health (Q2)"
ASTIN Bulletin;05150361, 17831350;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
Educational Assessment, Evaluation and Accountability;18748597, 18748600;Q1;"Education (Q1); Organizational Behavior and Human Resource Management (Q1)"
Extractive Industries and Society;22147918, 2214790X;Q1;"Development (Q1); Economic Geology (Q1); Geography, Planning and Development (Q1); Management, Monitoring, Policy and Law (Q1)"
Journal of Cell Communication and Signaling;1873961X, 18739601;Q1;"Biochemistry (Q1); Cell Biology (Q2); Molecular Biology (Q2)"
SciPost Physics Core;26669366;Q1;"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Nuclear and High Energy Physics (Q1); Statistical and Nonlinear Physics (Q1)"
Electric Power Systems Research;03787796;Q1;"Electrical and Electronic Engineering (Q1); Energy Engineering and Power Technology (Q1)"
Human Gene Therapy;10430342, 15577422;Q2;"Genetics (Q2); Molecular Biology (Q2); Molecular Medicine (Q2)"
Journal of Prosthodontic Research;22124632, 18831958;Q1;"Dentistry (miscellaneous) (Q1); Oral Surgery (Q1)"
Pediatric Obesity;20476302, 20476310;Q1;"Health Policy (Q1); Nutrition and Dietetics (Q1); Pediatrics, Perinatology and Child Health (Q1); Public Health, Environmental and Occupational Health (Q1)"
Textiles;03060748, 26737248;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Business and International Management (Q1); Business, Management and Accounting (miscellaneous) (Q1); History (Q1); Industrial and Manufacturing Engineering (Q1)"
Archives of Physical Medicine and Rehabilitation;1532821X, 00039993;Q1;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1); Sports Science (Q2)"
European Financial Management;13547798, 1468036X;Q1;"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)"
Journal of Cognition and Development;15327647, 15248372;Q1;"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1); Psychiatry and Mental Health (Q2)"
Journal of Graduate Medical Education;19498349, 19498357;Q1;"Education (Q1); Medicine (miscellaneous) (Q1)"
Soil Use and Management;14752743, 02660032;Q1;"Agronomy and Crop Science (Q1); Pollution (Q1); Soil Science (Q1)"
American Journal of Orthodontics and Dentofacial Orthopedics;10976752, 08895406;Q1;Orthodontics (Q1)
Journal of Managerial Psychology;02683946;Q1;"Management Science and Operations Research (Q1); Social Psychology (Q1); Applied Psychology (Q2); Organizational Behavior and Human Resource Management (Q2)"
Journal of Rheumatology;14992752, 0315162X;Q1;"Rheumatology (Q1); Immunology (Q2); Immunology and Allergy (Q2)"
Mineralogical Magazine;0026461X, 14718022;Q1;Geochemistry and Petrology (Q1)
Research in Transportation Economics;07398859;Q1;"Economics, Econometrics and Finance (miscellaneous) (Q1); Transportation (Q1)"
Self and Identity;15298868;Q1;Psychology (miscellaneous) (Q1)
Autism and Developmental Language Impairments;23969415;Q1;"Clinical Psychology (Q1); Developmental and Educational Psychology (Q1); Psychiatry and Mental Health (Q2)"
Behavioural Public Policy;23980648, 2398063X;Q1;"Political Science and International Relations (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1); Applied Psychology (Q2)"
BMC Plant Biology;14712229;Q1;Plant Science (Q1)
British Educational Research Journal;14693518, 01411926;Q1;Education (Q1)
IEEE Transactions on Engineering Management;00189391, 15580040;Q1;"Electrical and Electronic Engineering (Q1); Strategy and Management (Q1)"
International Journal of Multilingualism;14790718;Q1;Linguistics and Language (Q1)
Journal of Hospitality and Tourism Insights;25149806, 25149792;Q1;Tourism, Leisure and Hospitality Management (Q1)
Journal of Macromarketing;02761467;Q2;Marketing (Q2)
Clinical Rehabilitation;14770873, 02692155;Q1;"Physical Therapy, Sports Therapy and Rehabilitation (Q1); Rehabilitation (Q1)"
Combinatorics Probability and Computing;09635483, 14692163;Q1;"Applied Mathematics (Q1); Computational Theory and Mathematics (Q1); Statistics and Probability (Q1); Theoretical Computer Science (Q1)"
International Review of Administrative Sciences;00208523, 14617226;Q1;"Public Administration (Q1); Sociology and Political Science (Q1)"
Journal of Advanced Manufacturing Science and Technology;27092135;Q1;Mechanical Engineering (Q1)
Journal of Science: Advanced Materials and Devices;24682284, 24682179;Q1;"Biomaterials (Q1); Ceramics and Composites (Q1); Electronic, Optical and Magnetic Materials (Q1); Materials Science (miscellaneous) (Q1)"
Maritime Transport Research;2666822X;Q1;Transportation (Q1)
Counseling Psychologist;15523861, 00110000;Q2;Applied Psychology (Q2)
European Journal of Social Theory;13684310;Q1;Sociology and Political Science (Q1)
Hepatology Research;13866346;Q1;"Infectious Diseases (Q1); Hepatology (Q2)"
IEEE Transactions on Human-Machine Systems;21682291;Q1;"Artificial Intelligence (Q1); Computer Networks and Communications (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Human Factors and Ergonomics (Q1); Human-Computer Interaction (Q1); Signal Processing (Q1)"
International Journal of Cardiology;18741754, 01675273;Q1;Cardiology and Cardiovascular Medicine (Q1)
Journal of Community Health;00945145, 15733610;Q1;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1)"
American Journal of Neuroradiology;01956108;Q1;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)"
Clinical Genitourinary Cancer;15587673, 19380682;Q1;"Urology (Q1); Oncology (Q2)"
Computer Methods and Programs in Biomedicine;01692607, 18727565;Q1;"Computer Science Applications (Q1); Health Informatics (Q1); Software (Q1)"
JBMR Plus;24734039;Q1;"Orthopedics and Sports Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
Journalism and Mass Communication Educator;21614326, 10776958;Q1;"Communication (Q1); Education (Q1)"
FEMS Microbiology Ecology;01686496, 15746941;Q1;"Applied Microbiology and Biotechnology (Q1); Ecology (Q1); Microbiology (Q1)"
Health Promotion and Chronic Disease Prevention in Canada : Research, Policy and Practice;2368738X;Q1;"Health Policy (Q1); Public Health, Environmental and Occupational Health (Q1); Epidemiology (Q2)"
Journal of Mathematical Logic;17936691, 02190613;Q1;Logic (Q1)
Journal of Mental Health Policy and Economics;10914358, 1099176X;Q1;"Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Psychiatry and Mental Health (Q2)"
Nurse Education in Practice;18735223, 14715953;Q1;"Education (Q1); Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1)"
Health Care Management Review;15505030, 03616274;Q1;"Health Policy (Q1); Leadership and Management (Q1); Strategy and Management (Q1)"
Infancy;15327078, 15250008;Q1;"Developmental and Educational Psychology (Q1); Pediatrics, Perinatology and Child Health (Q1)"
Jiegou Huaxue;02545861;Q1;Chemistry (miscellaneous) (Q1)
Journal of Anthropological Archaeology;02784165, 10902686;Q1;"Archeology (Q1); Archeology (arts and humanities) (Q1); History (Q1); Human Factors and Ergonomics (Q1)"
Psychology of Aesthetics, Creativity, and the Arts;1931390X, 19313896;Q1;"Developmental and Educational Psychology (Q1); Visual Arts and Performing Arts (Q1); Applied Psychology (Q2)"
Resource and Energy Economics;09287655;Q1;Economics and Econometrics (Q1)
Technology, Pedagogy and Education;17475139, 1475939X;Q1;"Communication (Q1); Computer Science Applications (Q1); Education (Q1); Information Systems (Q1)"
A e C - Revista de Direito Administrativo e Constitucional;15163210, 19844182;Q1;Law (Q1)
Drug Safety;01145916, 11791942;Q1;"Pharmacology (Q1); Pharmacology (medical) (Q1); Toxicology (Q1)"
Journal of Neural Engineering;17412560;Q1;"Biomedical Engineering (Q1); Cellular and Molecular Neuroscience (Q2)"
Applied Mathematical Modelling;0307904X;Q1;"Applied Mathematics (Q1); Modeling and Simulation (Q1)"
Asian Journal of Psychiatry;18762018, 18762026;Q1;"Medicine (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Psychiatry and Mental Health (Q2)"
Cognitive Science;03640213, 15516709;Q1;"Artificial Intelligence (Q1); Experimental and Cognitive Psychology (Q1); Cognitive Neuroscience (Q2)"
Community Mental Health Journal;15732789, 00103853;Q1;"Health (social science) (Q1); Public Health, Environmental and Occupational Health (Q1); Psychiatry and Mental Health (Q2)"
Fungal Systematics and Evolution;25893823, 25893831;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Microbiology (Q1)"
BMB Reports;1976670X, 19766696;Q1;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Molecular Biology (Q2)"
Clinical Diabetes;08918929;Q1;"Internal Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
Expert Review of Clinical Immunology;1744666X, 17448409;Q2;"Immunology (Q2); Immunology and Allergy (Q2)"
Psychological Inquiry;15327965, 1047840X;Q1;Psychology (miscellaneous) (Q1)
Studies in Applied Mathematics;14679590, 00222526;Q1;Applied Mathematics (Q1)
Advances in Engineering Software;18735339, 09659978;Q1;"Engineering (miscellaneous) (Q1); Software (Q1)"
APL Materials;2166532X;Q1;"Engineering (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
Cellular Microbiology;14625814, 14625822;Q1;"Microbiology (Q1); Immunology (Q2); Virology (Q2)"
Energy and Fuels;08870624, 15205029;Q1;"Chemical Engineering (miscellaneous) (Q1); Energy Engineering and Power Technology (Q1); Fuel Technology (Q1)"
Language, Speech, and Hearing Services in Schools;01611461, 15589129;Q1;"Linguistics and Language (Q1); Speech and Hearing (Q1)"
Bioprinting;24058866;Q1;"Biomedical Engineering (Q1); Biotechnology (Q1); Computer Science Applications (Q1)"
CNS Oncology;20450915, 20450907;Q1;"Neurology (Q1); Neurology (clinical) (Q1)"
Current Hematologic Malignancy Reports;15588211, 1558822X;Q1;"Hematology (Q1); Cancer Research (Q2); Oncology (Q2)"
Current Opinion in Oncology;1531703X, 10408746;Q2;"Cancer Research (Q2); Oncology (Q2)"
Dermatology;10188665, 14219832;Q1;Dermatology (Q1)
European Journal of Soil Biology;11645563;Q1;"Insect Science (Q1); Microbiology (Q1); Soil Science (Q1)"
HIV Medicine;14681293, 14642662;Q1;"Health Policy (Q1); Infectious Diseases (Q1); Pharmacology (medical) (Q1)"
Journal of Psychiatric and Mental Health Nursing;13510126, 13652850;Q2;Psychiatry and Mental Health (Q2)
Population and Environment;15737810, 01990039;Q1;"Demography (Q1); Environmental Science (miscellaneous) (Q1)"
Diabetes and Vascular Disease Research;14791641;Q1;"Cardiology and Cardiovascular Medicine (Q1); Internal Medicine (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
Economic Inquiry;00952583, 14657295;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q1)"
Global Media and China;20594372;Q1;"Communication (Q1); Cultural Studies (Q1)"
ACS Applied Nano Materials;25740970;Q1;Materials Science (miscellaneous) (Q1)
ChemSystemsChem;25704206;Q1;"Biochemistry (Q1); Bioengineering (Q1); Chemistry (miscellaneous) (Q1); Catalysis (Q2)"
Journal of Industrial and Engineering Chemistry;1226086X;Q1;Chemical Engineering (miscellaneous) (Q1)
Journal of the Meteorological Society of Japan;21869057, 00261165;Q2;Atmospheric Science (Q2)
Reviews in Chemical Engineering;01678299, 21910235;Q1;Chemical Engineering (miscellaneous) (Q1)
Addictive Behaviors Reports;23528532;Q1;"Clinical Psychology (Q1); Psychiatry and Mental Health (Q2)"
Best Practice and Research: Clinical Gastroenterology;15321916, 15216918;Q1;Gastroenterology (Q1)
Chemico-Biological Interactions;00092797, 18727786;Q1;"Medicine (miscellaneous) (Q1); Toxicology (Q1)"
Current Cardiology Reports;15233782, 15343170;Q1;Cardiology and Cardiovascular Medicine (Q1)
Ecosphere;21508925;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1)"
Energy Journal;19449089, 01956574;Q1;"Economics and Econometrics (Q1); Energy (miscellaneous) (Q1)"
Futures;00163287;Q1;"Business and International Management (Q1); Development (Q1); Sociology and Political Science (Q1)"
Journal of Clinical Sleep Medicine;15509397, 15509389;Q1;"Neurology (Q1); Neurology (clinical) (Q1); Pulmonary and Respiratory Medicine (Q1)"
Natural Language and Linguistic Theory;0167806X, 15730859;Q1;Linguistics and Language (Q1)
Non-coding RNA Research;24680540;Q1;"Biochemistry (Q1); Biochemistry (medical) (Q1); Genetics (Q2); Molecular Biology (Q2)"
Social and Cultural Geography;14701197, 14649365;Q1;"Cultural Studies (Q1); Geography, Planning and Development (Q1)"
APL Bioengineering;24732877;Q1;"Bioengineering (Q1); Biomaterials (Q1); Biomedical Engineering (Q1); Biophysics (Q1)"
Bilingualism;14691841, 13667289;Q1;"Education (Q1); Linguistics and Language (Q1)"
HPB;14772574, 1365182X;Q1;"Gastroenterology (Q1); Hepatology (Q2)"
Journal d'Analyse Mathematique;00217670, 15658538;Q1;"Analysis (Q1); Mathematics (miscellaneous) (Q1)"
Journal of Physiology and Biochemistry;18778755, 11387548;Q1;"Biochemistry (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1)"
Machine Learning: Science and Technology;26322153;Q1;"Artificial Intelligence (Q1); Human-Computer Interaction (Q1); Software (Q1)"
Pancreatology;14243911, 14243903;Q1;"Gastroenterology (Q1); Endocrinology (Q2); Endocrinology, Diabetes and Metabolism (Q2); Hepatology (Q2)"
Rheumatic Disease Clinics of North America;0889857X, 15583163;Q1;Rheumatology (Q1)
Transactions of Nonferrous Metals Society of China (English Edition);10036326, 22103384;Q1;"Condensed Matter Physics (Q1); Geotechnical Engineering and Engineering Geology (Q1); Materials Chemistry (Q1); Metals and Alloys (Q1)"
Evidence and Policy;17442648;Q1;"Cardiology and Cardiovascular Medicine (Q1); Orthopedics and Sports Medicine (Q1); Social Sciences (miscellaneous) (Q1); Physiology (Q2)"
Journal of Analysis and Testing;25094696, 2096241X;Q1;"Analytical Chemistry (Q1); Instrumentation (Q1); Materials Chemistry (Q1); Spectroscopy (Q1); Electrochemistry (Q2); Environmental Chemistry (Q2)"
Molecular Plant-Microbe Interactions;08940282;Q1;"Agronomy and Crop Science (Q1); Medicine (miscellaneous) (Q1); Physiology (Q1)"
Advances in Geophysics;00652687;Q1;Geophysics (Q1)
Asian Journal of Social Health and Behavior;27724204;Q1;"Health (social science) (Q1); Medicine (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1); Social Psychology (Q1)"
Biological Chemistry;14316730, 14374315;Q1;"Biochemistry (Q1); Clinical Biochemistry (Q1); Molecular Biology (Q2)"
Clinical Interventions in Aging;11781998, 11769092;Q1;"Medicine (miscellaneous) (Q1); Geriatrics and Gerontology (Q2)"
Journal of Small Business and Entrepreneurship;08276331, 21692610;Q1;"Business and International Management (Q1); Strategy and Management (Q1)"
Language Awareness;09658416;Q1;"Education (Q1); Linguistics and Language (Q1)"
Leadership and Organization Development Journal;01437739;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Organizational Behavior and Human Resource Management (Q2)"
Soil Security;26670062;Q1;"Earth-Surface Processes (Q1); Soil Science (Q1)"
Zhongguo Dianji Gongcheng Xuebao/Proceedings of the Chinese Society of Electrical Engineering;02588013;Q1;Electrical and Electronic Engineering (Q1)
Biochemia Medica;13300962;Q1;"Biochemistry (medical) (Q1); Clinical Biochemistry (Q1)"
Collagen and Leather;20971419, 27316998;Q1;"Biomedical Engineering (Q1); Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Process Chemistry and Technology (Q1)"
Eurasian Business Review;13094297, 21474281;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)"
Frontiers in Toxicology;26733080;Q1;"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Toxicology (Q1)"
Journal of Experimental Child Psychology;00220965, 10960457;Q1;"Developmental and Educational Psychology (Q1); Experimental and Cognitive Psychology (Q1)"
Journal of Oral Rehabilitation;13652842, 0305182X;Q1;Dentistry (miscellaneous) (Q1)
Real Estate Economics;15406229, 10808620;Q1;"Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1)"
European Planning Studies;09654313, 14695944;Q1;Geography, Planning and Development (Q1)
Frontiers in Nutrition;2296861X;Q1;"Food Science (Q1); Nutrition and Dietetics (Q1); Endocrinology, Diabetes and Metabolism (Q2)"
Journal of Creative Behavior;21626057, 00220175;Q1;"Developmental and Educational Psychology (Q1); Education (Q1); Visual Arts and Performing Arts (Q1)"
Journal of Glaciology;00221430;Q1;Earth-Surface Processes (Q1)
Materials Advances;26335409;Q1;"Chemistry (miscellaneous) (Q1); Materials Science (miscellaneous) (Q1)"
Antibiotics;20796382;Q1;"Biochemistry (Q1); Infectious Diseases (Q1); Microbiology (medical) (Q1); Pharmacology (medical) (Q1); Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1); Microbiology (Q2)"
Biomedicines;22279059;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)"
Computer Communications;1873703X, 01403664;Q1;Computer Networks and Communications (Q1)
Advanced Biology;27010198;Q1;"Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biomaterials (Q1); Biomedical Engineering (Q1)"
Current Oncology;17187729;Q2;Oncology (Q2)
Dementia;17412684, 14713012;Q1;"History (Q1); Medicine (miscellaneous) (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1)"
IEEE Transactions on Biomedical Engineering;00189294, 15582531;Q1;Biomedical Engineering (Q1)
Journal of Construction Engineering and Management;19437862, 07339364;Q1;"Building and Construction (Q1); Civil and Structural Engineering (Q1); Industrial Relations (Q1); Strategy and Management (Q1)"
Journal of Integrative Agriculture;20953119;Q1;"Agronomy and Crop Science (Q1); Animal Science and Zoology (Q1); Biochemistry (Q1); Ecology (Q1); Food Animals (Q1); Food Science (Q1); Plant Science (Q1)"
Primary Care - Clinics in Office Practice;1558299X, 00954543;Q1;"Medicine (miscellaneous) (Q1); Pharmacology (medical) (Q1)"
Biophysical Journal;15420086, 00063495;Q1;Biophysics (Q1)
Nonprofit and Voluntary Sector Quarterly;15527395, 08997640;Q1;Social Sciences (miscellaneous) (Q1)
Pharmaceutical Medicine;11782595, 11791993;Q1;"Pharmacology (Q1); Pharmacology (medical) (Q1)"
Radiation Oncology;1748717X;Q1;"Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)"
China Geology;20965192, 25899430;Q1;"Computers in Earth Sciences (Q1); Earth-Surface Processes (Q1); Economic Geology (Q1); Geochemistry and Petrology (Q1); Geology (Q1); Geotechnical Engineering and Engineering Geology (Q1); Oceanography (Q1); Paleontology (Q1)"
Digestion;14219867, 00122823;Q1;Gastroenterology (Q1)
EFSA Journal;18314732;Q1;"Animal Science and Zoology (Q1); Food Science (Q1); Parasitology (Q1); Plant Science (Q1); Veterinary (miscellaneous) (Q1); Microbiology (Q2)"
International Journal of Digital Earth;17538955, 17538947;Q1;"Computer Science Applications (Q1); Earth and Planetary Sciences (miscellaneous) (Q1); Software (Q1)"
Radiology: Imaging Cancer;2638616X;Q1;"Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1); Oncology (Q2)"
Engineering with Computers;14355663, 01770667;Q1;"Computer Science Applications (Q1); Engineering (miscellaneous) (Q1); Modeling and Simulation (Q1); Software (Q1)"
JPhys Materials;25157639;Q1;"Atomic and Molecular Physics, and Optics (Q1); Condensed Matter Physics (Q1); Materials Science (miscellaneous) (Q1)"
Nonlinear Differential Equations and Applications;10219722, 14209004;Q1;"Analysis (Q1); Applied Mathematics (Q1)"
Progress in Natural Science: Materials International;10020071, 17455391;Q1;"Materials Science (miscellaneous) (Q1); Multidisciplinary (Q1)"
Scandinavian Journal of Management;09565221, 18733387;Q1;"Strategy and Management (Q1); Applied Psychology (Q2)"
Spanish Journal of Marketing - ESIC;24449709, 24449695;Q2;Marketing (Q2)
Television and New Media;15274764;Q1;"Cultural Studies (Q1); Visual Arts and Performing Arts (Q1)"
American Politics Research;15523373, 1532673X;Q1;Sociology and Political Science (Q1)
JBI Evidence Implementation;26913321;Q1;"Internal Medicine (Q1); Medicine (miscellaneous) (Q1); Nursing (miscellaneous) (Q1); Public Health, Environmental and Occupational Health (Q1)"
Journal of Refugee Studies;09516328, 14716925;Q1;"Geography, Planning and Development (Q1); Political Science and International Relations (Q1)"
Land Degradation and Development;1099145X, 10853278;Q1;"Development (Q1); Environmental Science (miscellaneous) (Q1); Soil Science (Q1); Environmental Chemistry (Q2)"
Space Weather;15427390;Q2;Atmospheric Science (Q2)
Supportive Care in Cancer;14337339, 09414355;Q1;"Oncology (nursing) (Q1); Rehabilitation (Q1); Oncology (Q2)"
China Agricultural Economic Review;1756137X, 17561388;Q1;"Agricultural and Biological Sciences (miscellaneous) (Q1); Economics and Econometrics (Q1)"
China Communications;16735447;Q1;"Computer Networks and Communications (Q1); Electrical and Electronic Engineering (Q1)"
Cytokine;10960023, 10434666;Q1;"Biochemistry (Q1); Hematology (Q1); Immunology (Q2); Immunology and Allergy (Q2); Molecular Biology (Q2)"
Ecosystems and People;26395908, 26395916;Q1;"Ecology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Management, Monitoring, Policy and Law (Q1); Nature and Landscape Conservation (Q1)"
Food Bioscience;22124306, 22124292;Q1;"Biochemistry (Q1); Food Science (Q1)"
International Journal of Science and Mathematics Education;15710068;Q1;"Education (Q1); Mathematics (miscellaneous) (Q1)"
International Journal of Tryptophan Research;11786469;Q1;"Biochemistry (Q1); Molecular Biology (Q2)"
Journal of Pharmacology and Experimental Therapeutics;15210103, 00223565;Q1;"Pharmacology (Q1); Molecular Medicine (Q2)"
Journal of Systematics and Evolution;17596831, 16744918;Q1;"Ecology, Evolution, Behavior and Systematics (Q1); Plant Science (Q1)"
Asian Spine Journal;19767846, 19761902;Q1;"Orthopedics and Sports Medicine (Q1); Surgery (Q1)"
China Journal;18358535, 13249347;Q1;"Geography, Planning and Development (Q1); Sociology and Political Science (Q1)"
Cleaner Energy Systems;27727831;Q2;Renewable Energy, Sustainability and the Environment (Q2)
Epigenomes;20754655;Q1;"Biochemistry (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Health, Toxicology and Mutagenesis (Q1); Genetics (Q2)"
Ethics and Information Technology;13881957;Q1;"Computer Science Applications (Q1); Library and Information Sciences (Q1)"
Food and Energy Security;20483694;Q1;"Agronomy and Crop Science (Q1); Food Science (Q1); Forestry (Q1); Renewable Energy, Sustainability and the Environment (Q2)"
International Journal for Numerical and Analytical Methods in Geomechanics;03639061, 10969853;Q1;"Computational Mechanics (Q1); Geotechnical Engineering and Engineering Geology (Q1); Materials Science (miscellaneous) (Q1); Mechanics of Materials (Q1)"
Journal of Neural Transmission;03009564, 14351463;Q1;"Neurology (Q1); Neurology (clinical) (Q1); Biological Psychiatry (Q2); Psychiatry and Mental Health (Q2)"
Open Heart;20533624, 2398595X;Q1;Cardiology and Cardiovascular Medicine (Q1)
Applied and Environmental Microbiology;00992240, 10985336;Q1;"Applied Microbiology and Biotechnology (Q1); Biotechnology (Q1); Ecology (Q1); Food Science (Q1)"
BMJ Open Respiratory Research;20524439;Q1;Pulmonary and Respiratory Medicine (Q1)
Economic and Industrial Democracy;0143831X, 14617099;Q1;"Business, Management and Accounting (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Strategy and Management (Q1); Organizational Behavior and Human Resource Management (Q2)"
Electrochimica Acta;00134686;Q1;"Chemical Engineering (miscellaneous) (Q1); Electrochemistry (Q2)"
Environmental Education Research;14695871, 13504622;Q1;Education (Q1)
Frontiers of Optoelectronics;20952767, 20952759;Q1;"Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1)"
International Journal of Integrated Care;15684156;Q1;"Health Policy (Q1); Health (social science) (Q1); Sociology and Political Science (Q1)"
Journal of Athletic Training;10626050, 1938162X;Q1;"Medicine (miscellaneous) (Q1); Orthopedics and Sports Medicine (Q1); Physical Therapy, Sports Therapy and Rehabilitation (Q1); Sports Science (Q2)"
Journal of Plant Physiology;01761617, 16181328;Q1;"Agronomy and Crop Science (Q1); Plant Science (Q1); Physiology (Q2)"
Men and Masculinities;1097184X;Q1;"Gender Studies (Q1); History (Q1); Literature and Literary Theory (Q1); Sociology and Political Science (Q1)"
Toxicology;0300483X, 18793185;Q1;Toxicology (Q1)
ACM Transactions on Quantum Computing;26436817;Q1;"Computational Theory and Mathematics (Q1); Computer Science (miscellaneous) (Q1); Statistical and Nonlinear Physics (Q1); Theoretical Computer Science (Q1)"
ACS Biomaterials Science and Engineering;23739878;Q1;"Biomedical Engineering (Q1); Biomaterials (Q2)"
Aggressive Behavior;10982337, 0096140X;Q1;"Arts and Humanities (miscellaneous) (Q1); Psychology (miscellaneous) (Q1); Developmental and Educational Psychology (Q2)"
Annals of Family Medicine;15441717, 15441709;Q1;Family Practice (Q1)
Circulation Journal;13474820, 13469843;Q1;"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1)"
Counseling Outcome Research and Evaluation;21501378, 21501386;Q1;Psychology (miscellaneous) (Q1)
European Journal of Public Health;1464360X, 11011262;Q1;Public Health, Environmental and Occupational Health (Q1)
European Transport Research Review;18668887, 18670717;Q1;"Automotive Engineering (Q1); Mechanical Engineering (Q1); Transportation (Q1)"
Journal of Diabetes;17530407, 17530393;Q2;Endocrinology, Diabetes and Metabolism (Q2)
Neurology: Genetics;23767839;Q1;"Neurology (clinical) (Q1); Genetics (clinical) (Q2)"
Trends in Neuroscience and Education;22119493;Q1;"Behavioral Neuroscience (Q1); Education (Q1); Cognitive Neuroscience (Q2); Neuroscience (miscellaneous) (Q2)"
European Thyroid Journal;22350640, 22350802;Q2;Endocrinology, Diabetes and Metabolism (Q2)
Social Policy and Administration;01445596, 14679515;Q1;"Development (Q1); Public Administration (Q1); Social Work (Q1); Sociology and Political Science (Q1)"
Applied Water Science;21905495, 21905487;Q1;Water Science and Technology (Q1)
Behaviour and Information Technology;13623001, 0144929X;Q1;"Arts and Humanities (miscellaneous) (Q1); Human-Computer Interaction (Q1); Social Sciences (miscellaneous) (Q1); Developmental and Educational Psychology (Q2)"
Computational Complexity;14208954, 10163328;Q1;"Computational Mathematics (Q1); Computational Theory and Mathematics (Q1); Mathematics (miscellaneous) (Q1); Theoretical Computer Science (Q1)"
Journal of Curriculum Studies;13665839, 00220272;Q1;Education (Q1)
Microbial Cell Factories;14752859;Q1;"Applied Microbiology and Biotechnology (Q1); Bioengineering (Q1); Biotechnology (Q1)"
Neurochemical Research;03643190, 15736903;Q1;"Medicine (miscellaneous) (Q1); Biochemistry (Q2); Cellular and Molecular Neuroscience (Q2)"
Benchmarking;14635771;Q1;"Business and International Management (Q1); Strategy and Management (Q1)"
Canadian Psychology;07085591;Q1;Psychology (miscellaneous) (Q1)
Hernia : the journal of hernias and abdominal wall surgery;12654906, 12489204;Q1;Surgery (Q1)
Neural Computing and Applications;09410643, 14333058;Q1;"Artificial Intelligence (Q1); Software (Q1)"
Neurosurgical Focus;10920684;Q1;"Medicine (miscellaneous) (Q1); Neurology (clinical) (Q1); Surgery (Q1)"
Pregnancy Hypertension;22107797, 22107789;Q1;"Internal Medicine (Q1); Obstetrics and Gynecology (Q1)"
American Review of Public Administration;15523357, 02750740;Q1;"Public Administration (Q1); Sociology and Political Science (Q1); Marketing (Q2)"
Canadian Journal of School Psychology;21543984, 08295735;Q2;Developmental and Educational Psychology (Q2)
